"County, State",State,County Name,# per 100K,Calc Positive Severe Depression,Calc Total Depression Responses
"Maverick, Texas",Texas,Maverick,23,66,204
"Wasatch, Utah",Utah,Wasatch,23,37,152
"Union, Louisiana",Louisiana,Union,23,30,97
"Stone, Missouri",Missouri,Stone,23,35,105
"Sonoma, California",California,Sonoma,23,527,"1,777"
"Greensville, Virginia",Virginia,Greensville,23,16,50
"Jackson, Iowa",Iowa,Jackson,23,23,65
"Passaic, New Jersey",New Jersey,Passaic,23,591,"1,970"
"Chippewa, Wisconsin",Wisconsin,Chippewa,23,74,257
"Monmouth, New Jersey",New Jersey,Monmouth,23,714,"2,613"
"Monterey, California",California,Monterey,23,491,"1,674"
"Southeast Fairbanks, Alaska",Alaska,Southeast Fairbanks,23,8,25
"Caldwell, Kentucky",Kentucky,Caldwell,23,14,43
"Summit, Colorado",Colorado,Summit,23,36,132
"Huron, Michigan",Michigan,Huron,23,33,109
"Barton, Kansas",Kansas,Barton,23,28,105
"Telfair, Georgia",Georgia,Telfair,23,16,39
"Ogemaw, Michigan",Michigan,Ogemaw,23,22,56
"St. Landry, Louisiana",Louisiana,St. Landry,23,78,202
"Perry, Tennessee",Tennessee,Perry,23,9,25
"Morgan, Utah",Utah,Morgan,23,14,54
"Chesterfield, South Carolina",South Carolina,Chesterfield,23,46,126
"Monroe, Georgia",Georgia,Monroe,23,26,67
"King and Queen, Virginia",Virginia,King and Queen,23,8,27
"Gates, North Carolina",North Carolina,Gates,23,12,27
"Gallatin, Illinois",Illinois,Gallatin,23,5,17
"Hickory, Missouri",Missouri,Hickory,23,10,23
"Bath, Virginia",Virginia,Bath,23,5,16
"Renville, Minnesota",Minnesota,Renville,23,17,58
"Worth, Iowa",Iowa,Worth,23,8,18
"Lincoln, Wyoming",Wyoming,Lincoln,23,22,69
"Sawyer, Wisconsin",Wisconsin,Sawyer,22,21,64
"Dawson, Montana",Montana,Dawson,22,10,32
"Mercer, Illinois",Illinois,Mercer,22,19,69
"Alameda, California",California,Alameda,22,"1,890","7,346"
"Trousdale, Tennessee",Tennessee,Trousdale,22,13,46
"Clay, Texas",Texas,Clay,22,13,38
"Kings, New York",New York,Kings,22,"3,006","10,655"
"Perry, Ohio",Ohio,Perry,22,43,146
"Imperial, California",California,Imperial,22,195,657
"Cass, Nebraska",Nebraska,Cass,22,30,109
"Sioux, Iowa",Iowa,Sioux,22,46,196
"Owyhee, Idaho",Idaho,Owyhee,22,17,40
"St. Clair, Missouri",Missouri,St. Clair,22,10,27
"Adair, Iowa",Iowa,Adair,22,8,29
"Adams, Illinois",Illinois,Adams,22,73,236
"Jasper, Mississippi",Mississippi,Jasper,22,18,56
"Todd, Minnesota",Minnesota,Todd,22,30,127
"DeKalb, Missouri",Missouri,DeKalb,22,19,62
"Kauai, Hawaii",Hawaii,Kauai,22,82,295
"Clear Creek, Colorado",Colorado,Clear Creek,22,34,132
"Texas, Missouri",Missouri,Texas,22,27,70
"Wayne, Iowa",Iowa,Wayne,22,7,23
"Robeson, North Carolina",North Carolina,Robeson,22,130,346
"Transylvania, North Carolina",North Carolina,Transylvania,22,37,109
"Beadle, South Dakota",South Dakota,Beadle,22,22,64
"Preston, West Virginia",West Virginia,Preston,22,38,120
"Ocean, New Jersey",New Jersey,Ocean,22,709,"2,335"
"Barron, Wisconsin",Wisconsin,Barron,22,50,167
"Newton, Arkansas",Arkansas,Newton,22,8,25
